的	〔白勹丶-·-rqyy〕
一	〔一一囗囗-·-ggll〕
是	〔日一龰-·-jghu〕
在	〔𠂇丨土-·-dhfd〕
不	〔一-·-gii〕
了	〔-·-bnh〕
有	〔𠂇⺝-·-def〕
和	〔禾口-·-tkg〕
人	〔人人人人-·-wwww〕
这	〔文辶-·-ypi〕
中	〔口丨-·-khk〕
大	〔大大大大-·-dddd〕
上	〔⺊丨一一-·-hhgg〕
为	〔丶力丶-·-ylyi〕
个	〔人丨-·-whj〕
过	〔寸辶-·-fpi〕
国	〔囗王丶-·-lgyi〕
我	〔-·-trnt〕
以	〔𠄌丶人-·-nywy〕
地	〔土也-·-fbn〕
他	〔亻也-·-wbn〕
要	〔覀女-·-svf〕
来	〔一米-·-goi〕
们	〔亻门-·-wun〕
时	〔日寸-·-jfy〕
到	〔一厶土刂-·-gcfj〕
生	〔-·-tgd〕
用	〔丨-·-etnh〕
作	〔亻丨-·-wthf〕
就	〔-·-yidn〕
出	〔山-·-bmk〕
于	〔一-·-gfk〕
会	〔人厶-·-wfcu〕
对	〔寸-·-cfy〕
分	〔-·-wvb〕
成	〔-·-dnnt〕
年	〔丨-·-rhfk〕
可	〔口-·-skd〕
同	〔冂一口-·-mgkd〕
主	〔丶王-·-ygd〕
也	〔也丨-·-bnhn〕
发	〔丶-·-ntcy〕
工	〔-·-aaaa〕
说	〔口-·-yukq〕
子	〔-·-bbbb〕
下	〔一-·-ghi〕
能	〔厶⺝-·-cexx〕
动	〔厶力-·-fcln〕
行	〔-·-tfhh〕
产	〔-·-ute〕
而	〔冂-·-dmjj〕
多	〔-·-qqu〕
后	〔一口-·-rgkd〕
方	〔丶一-·-yygn〕
面	〔冂-·-dmjd〕
种	〔禾口丨-·-tkhh〕
学	〔-·-ipbf〕
著	〔土日-·-aftj〕
着	〔-·-udhf〕
得	〔日一寸-·-tjgf〕
定	〔一龰-·-pghu〕
法	〔土厶-·-ifcy〕
民	〔-·-nav〕
所	〔-·-rnrh〕
经	〔-·-xcag〕
十	〔一丨-·-fgh〕
三	〔一一一-·-dggg〕
之	〔-·-pppp〕
进	〔辶-·-fjpk〕
家	〔-·-peu〕
等	〔土寸-·-tffu〕
部	〔口-·-ukbh〕
里	〔日土-·-jfd〕
都	〔土日-·-ftjb〕
自	〔-·-thd〕
二	〔一一-·-fgg〕
如	〔女口-·-vkg〕
理	〔王日土-·-gjfg〕
起	〔土龰-·-fhnv〕
力	〔力-·-ltn〕
长	〔-·-tayi〕
化	〔亻-·-wxn〕
现	〔王-·-gmqn〕
小	〔丶-·-ihty〕
度	〔-·-yaci〕
实	〔大-·-pudu〕
点	〔口-·-hkou〕
高	〔冂口-·-ymkf〕
还	〔一辶-·-gipi〕
当	〔-·-ivf〕
电	〔日-·-jnv〕
加	〔力口-·-lkg〕
两	〔一冂人人-·-gmww〕
从	〔人人-·-wwy〕
