工	a
了	b
以	c
在	d
有	e
地	f
一	g
上	h
不	i
是	j
中	k
国	l
同	m
民	n
为	o
这	p
我	q
的	r
要	s
和	t
产	u
发	v
人	w
经	x
主	y
式	aa
节	ab
芭	ac
基	ad
菜	ae
革	af
七	ag
牙	ah
东	ai
划	aj
或	ak
功	al
贡	am
世	an
芝	ap
区	aq
匠	ar
苛	as
攻	at
切	av
共	aw
药	ax
芳	ay
陈	ba
子	bb
取	bc
承	bd
阴	be
际	bf
卫	bg
耻	bh
孙	bi
阳	bj
职	bk
阵	bl
出	bm
也	bn
耿	bo
辽	bp
隐	bq
孤	br
阿	bs
降	bt
联	bu
限	bv
队	bw
陛	bx
防	by
戏	ca
邓	cb
双	cc
参	cd
能	ce
对	cf
台	ck
劝	cl
观	cm
马	cn
驼	cp
允	cq
牟	cr
矣	ct
艰	cv
难	cw
驻	cy
左	da
顾	db
友	dc
大	dd
胡	de
夺	df
丰	dh
耗	di
百	dj
右	dk
历	dl
面	dm
成	dn
灰	do
达	dp
克	dq
原	dr
厅	ds
帮	dt
磁	du
肆	dv
春	dw
龙	dx
太	dy
肛	ea
服	eb
肥	ec
须	ed
朋	ee
肝	ef
且	eg
膛	ei
胆	ej
肿	ek
肋	el
肌	em
甩	en
爱	ep
胸	eq
遥	er
采	es
用	et
胶	eu
妥	ev
脸	ew
脂	ex
及	ey
载	fa
地	fb
支	fc
城	fd
圾	fe
寺	ff
二	fg
直	fh
示	fi
进	fj
吉	fk
协	fl
南	fm
志	fn
赤	fo
过	fp
无	fq
垢	fr
霜	fs
才	ft
增	fu
雪	fv
夫	fw
坟	fy
开	ga
屯	gb
到	gc
天	gd
表	ge
于	gf
五	gg
下	gh
不	gi
理	gj
事	gk
画	gl
现	gm
与	gn
来	go
列	gq
珠	gr
末	gs
玫	gt
平	gu
妻	gv
珍	gw
互	gx
玉	gy
虎	ha
皮	hc
非	hd
肯	he
睦	hf
睛	hg
止	hh
步	hi
旧	hj
占	hk
卤	hl
贞	hm
卢	hn
眯	ho
瞎	hp
餐	hq
盯	hs
睡	ht
瞳	hu
眼	hv
具	hw
此	hx
眩	hy
江	ia
池	ib
汉	ic
尖	id
肖	ie
法	if
汪	ig
小	ih
水	ii
浊	ij
澡	ik
渐	il
没	im
沁	in
淡	io
学	ip
光	iq
泊	ir
洒	is
少	it
洋	iu
当	iv
兴	iw
涨	ix
注	iy
虹	ja
最	jb
紧	jc
晨	jd
明	je
时	jf
量	jg
早	jh
晃	ji
昌	jj
蝇	jk
曙	jl
遇	jm
电	jn
显	jo
晕	jp
晚	jq
蝗	jr
果	js
昨	jt
暗	ju
归	jv
蛤	jw
昆	jx
景	jy
呀	ka
啊	kb
吧	kc
顺	kd
吸	ke
叶	kf
呈	kg
中	kh
吵	ki
虽	kj
吕	kk
另	kl
员	km
叫	kn
喧	kp
史	kq
听	kr
呆	ks
呼	kt
啼	ku
哪	kv
只	kw
哟	kx
嘛	ky
轻	lc
因	ld
胃	le
轩	lf
车	lg
四	lh
辊	lj
加	lk
男	ll
轴	lm
思	ln
边	lp
罗	lq
斩	lr
困	ls
较	lu
轨	lv
办	lw
累	lx
罚	ly
曲	ma
邮	mb
凤	mc
央	md
骨	me
财	mf
同	mg
由	mh
峭	mi
则	mj
崭	ml
册	mm
岂	mn
迪	mp
风	mq
贩	mr
朵	ms
几	mt
赠	mu
内	mw
幽	mx
凡	my
民	na
敢	nb
怪	nc
居	nd
导	nf
怀	ng
收	nh
悄	ni
慢	nj
避	nk
惭	nl
届	nm
忆	nn
屡	no
忱	np
懈	nq
怕	nr
必	nt
习	nu
恨	nv
愉	nw
尼	nx
心	ny
煤	oa
籽	ob
烃	oc
类	od
粗	oe
灶	of
业	og
粘	oh
炒	oi
烛	oj
炽	ok
烟	ol
灿	om
断	on
炎	oo
迷	op
炮	oq
煌	or
灯	os
烽	ot
料	ou
娄	ov
粉	ow
米	oy
宽	pa
字	pb
害	pd
家	pe
守	pf
定	pg
官	ph
宵	pi
审	pj
宫	pk
军	pl
宙	pm
灾	po
之	pp
宛	pq
宾	pr
宁	ps
客	pt
实	pu
安	pv
空	pw
它	px
社	py
氏	qa
凶	qb
色	qc
然	qd
角	qe
针	qf
钱	qg
外	qh
乐	qi
旬	qj
名	qk
甸	ql
负	qm
包	qn
炙	qo
锭	qp
多	qq
铁	qr
杀	qs
儿	qt
匀	qu
争	qv
欠	qw
久	qy
找	ra
报	rb
反	rc
拓	rd
扔	re
持	rf
后	rg
年	rh
朱	ri
提	rj
扣	rk
押	rl
抽	rm
所	rn
搂	ro
近	rp
换	rq
折	rr
打	rs
手	rt
拉	ru
扫	rv
失	rw
批	rx
扩	ry
械	sa
李	sb
权	sc
枯	sd
极	se
村	sf
本	sg
相	sh
档	si
查	sj
可	sk
楞	sl
机	sm
杨	sn
杰	so
棕	sp
构	sq
析	sr
林	ss
格	st
样	su
要	sv
检	sw
楷	sx
术	sy
长	ta
季	tb
么	tc
知	td
秀	te
行	tf
生	tg
处	th
秒	ti
得	tj
各	tk
务	tl
向	tm
秘	tn
秋	to
管	tp
称	tq
物	tr
条	ts
笔	tt
科	tu
委	tv
答	tw
第	tx
入	ty
并	ua
闻	ub
冯	uc
关	ud
前	ue
半	uf
闰	ug
站	uh
冰	ui
